TIMESTAMP,RECORD,BattV [V],T_1 [degC],T_2 [degC],RH_1 [%RH],RH_2 [%RH],Speed_wind_1 [m/s],Speed_wind_2 [m/s],Speed_gust_1 [m/s],Speed_gust_2 [m/s],Dir_wind [deg],p_air [hPa],SW_up [W/m^2],SW_down [W/m^2],LW_up [W/m^2],LW_down [W/m^2],T_cnr1_degc [degC],T_ground [degC]
2026-03-17 17:56:00,2,0.0,-4.417,-4.397,77.61,79.01,0.0,0.0,0.0,0.0,27.62,604.5208,0.6,0.257,165.4,157.7,-4.614,-4.013
2026-03-17 17:57:00,3,14.33,-7.409,-7.368,77.52,78.87,0.0,0.0,0.0,0.0,27.42,1012.89,0.968,0.254,277.0,264.2,-7.75,-6.718
2026-03-17 17:58:00,4,14.33,-7.398,-7.355,77.45,78.74,0.0,0.0,0.0,0.0,27.46,1012.898,0.91,0.229,276.9,264.3,-7.753,-6.661
2026-03-17 18:00:00,5,14.33,-7.365,-7.332,77.42,78.57,0.0,0.0,0.0,0.0,27.51,1012.923,0.913,0.222,276.7,264.7,-7.769,-6.525
2026-03-17 18:01:00,6,14.33,-7.342,-7.322,77.4,78.6,0.0,0.0,0.0,0.0,27.52,1012.944,0.976,0.31,276.7,265.6,-7.771,-6.466
2026-03-17 18:02:00,7,14.33,-7.313,-7.304,77.3,78.44,0.0,0.0,0.0,0.0,27.72,1012.95,0.757,0.231,276.7,266.2,-7.78,-6.494
2026-03-17 18:03:00,8,14.33,-7.289,-7.279,77.18,78.32,0.0,0.0,0.0,0.0,27.76,1012.96,0.805,0.3,276.8,265.9,-7.773,-6.502
2026-03-17 18:04:00,9,14.33,-7.27,-7.258,77.04,78.2,0.0,0.0,0.0,0.0,27.74,1012.947,0.81,0.379,276.9,265.7,-7.774,-6.46
2026-03-17 18:05:00,10,14.33,-7.251,-7.235,77.0,78.06,0.0,0.0,0.0,0.0,27.74,1012.927,0.785,0.335,276.9,265.9,-7.771,-6.419
2026-03-17 18:06:00,11,14.33,-7.23,-7.212,76.92,77.97,0.0,0.0,0.0,0.0,27.74,1012.921,0.819,0.359,276.8,266.4,-7.781,-6.359
2026-03-17 18:07:00,12,14.33,-7.219,-7.191,76.75,77.85,0.0,0.0,0.0,0.0,27.74,1012.922,0.666,0.259,277.0,267.5,-7.793,-6.335
2026-03-17 18:08:00,13,0.0,-6.64,-6.603,76.84,77.86,0.0,0.0,0.0,0.0,27.74,933.1819,0.596,0.166,255.4,247.3,-7.191,-5.816
2026-03-17 18:09:00,14,14.32,-7.195,-7.151,76.87,77.83,0.0,0.0,0.0,0.0,27.73,1012.89,0.646,0.258,277.2,268.8,-7.803,-6.33
2026-03-17 18:10:00,15,14.32,-7.169,-7.123,76.79,77.78,0.0,0.0,0.0,0.0,27.64,1012.868,0.636,0.307,277.3,269.1,-7.804,-6.369
2026-03-17 18:11:00,16,14.33,-7.16,-7.087,76.67,77.68,0.0,0.0,0.0,0.0,27.41,1012.854,0.56,0.177,277.4,268.7,-7.795,-6.433
2026-03-17 18:12:00,17,14.32,-7.121,-7.035,76.65,77.61,0.0,0.0,0.0,0.0,27.41,1012.85,0.728,0.469,277.5,268.0,-7.781,-6.304
2026-03-17 18:13:00,18,14.32,-7.086,-6.995,76.45,77.25,0.0,0.0,0.0,0.0,27.44,1012.852,0.747,0.446,277.4,266.8,-7.79,-6.186
2026-03-17 18:14:00,19,14.32,-7.069,-6.969,76.29,76.82,0.0,0.0,0.0,0.0,27.8,1012.862,0.547,0.187,277.4,265.8,-7.796,-6.128
2026-03-17 18:15:00,20,14.32,-7.05,-6.95,76.2,76.57,0.0,0.002,0.0,0.098,28.36,1012.868,0.55,0.11,277.4,264.9,-7.79,-6.109
2026-03-17 18:16:00,21,14.32,-7.029,-6.928,76.02,76.34,0.0,0.036,0.0,0.392,40.54,1012.877,0.698,0.153,277.5,264.4,-7.771,-6.288
2026-03-17 18:17:00,22,14.32,-7.007,-6.919,75.9,76.18,0.0,0.049,0.0,0.392,40.61,1012.876,0.881,0.325,277.6,264.2,-7.758,-6.429
2026-03-17 18:18:00,23,14.32,-6.988,-6.919,75.78,76.21,0.0,0.0,0.0,0.0,40.14,1012.881,0.915,0.34,277.3,264.2,-7.764,-6.48
2026-03-17 18:19:00,24,14.32,-6.967,-6.908,75.74,76.1,0.0,0.0,0.0,0.0,40.11,1012.854,0.862,0.273,277.0,264.0,-7.768,-6.498
2026-03-17 18:20:00,25,14.31,-6.936,-6.878,75.86,75.83,0.0,0.0,0.0,0.0,41.21,1012.86,0.906,0.277,276.8,263.6,-7.767,-6.513
2026-03-17 18:21:00,26,14.32,-6.883,-6.835,75.76,75.44,0.0,0.0,0.0,0.0,41.61,1012.858,0.909,0.244,276.7,263.2,-7.76,-6.545
2026-03-17 18:22:00,27,14.32,-6.837,-6.758,75.37,74.85,0.0,0.052,0.0,0.392,41.72,1012.875,0.996,0.307,276.9,262.8,-7.733,-6.602
2026-03-17 18:23:00,28,14.31,-6.797,-6.665,74.89,74.33,0.0,0.035,0.0,0.392,41.72,1012.875,1.134,0.426,277.0,262.9,-7.717,-6.683
2026-03-17 18:24:00,29,14.32,-6.789,-6.609,74.59,74.07,0.0,0.003,0.0,0.098,41.58,1012.875,1.044,0.374,276.9,262.9,-7.717,-6.755
2026-03-17 18:25:00,30,14.32,-6.795,-6.597,74.32,74.1,0.0,0.362,0.0,0.588,41.47,1012.854,0.958,0.245,277.0,262.8,-7.707,-6.837
2026-03-17 18:26:00,31,14.31,-6.811,-6.586,74.51,73.82,0.0,0.266,0.0,0.588,40.89,1012.833,0.9,0.192,277.0,262.9,-7.709,-6.962
2026-03-17 18:27:00,32,14.31,-6.777,-6.545,74.43,73.5,0.0,0.0,0.0,0.0,40.81,1012.79,0.781,0.185,277.1,263.1,-7.703,-7.149
2026-03-17 18:28:00,33,14.31,-6.725,-6.508,74.13,73.37,0.0,0.0,0.0,0.0,40.68,1012.771,0.737,0.254,277.0,263.4,-7.695,-7.295
2026-03-17 18:29:00,34,14.31,-6.673,-6.471,73.91,73.08,0.0,0.311,0.0,1.274,334.7,1012.761,0.773,0.337,276.9,263.5,-7.698,-7.39
2026-03-17 18:30:00,35,14.31,-6.622,-6.413,73.47,72.78,0.0,0.749,0.0,1.274,350.2,1012.752,0.394,0.005,277.2,263.9,-7.68,-7.406
2026-03-17 18:31:00,36,14.31,-6.582,-6.337,73.23,72.24,0.095,0.919,0.721,1.372,333.1,1012.742,0.721,0.229,277.7,265.5,-7.625,-7.303
2026-03-17 18:32:00,37,14.31,-6.523,-6.216,73.21,71.45,1.165,1.91,1.699,2.254,324.6,1012.726,0.81,0.378,278.3,267.2,-7.576,-7.223
2026-03-17 18:33:00,38,14.31,-6.369,-6.078,72.5,70.74,1.176,1.739,1.647,2.156,321.1,1012.728,1.057,0.665,279.1,268.1,-7.482,-7.091
2026-03-17 18:34:00,39,14.31,-6.261,-6.03,71.88,70.68,0.387,1.053,0.978,1.568,324.2,1012.761,1.34,1.014,279.4,269.1,-7.426,-7.029
2026-03-17 18:35:00,40,14.31,-6.243,-6.026,71.51,70.54,0.0,0.03,0.0,0.392,333.6,1012.784,1.423,1.111,279.4,270.2,-7.426,-6.996
2026-03-17 18:36:00,41,14.31,-6.301,-6.087,71.46,71.03,0.001,0.283,0.051,0.686,88.3,1012.794,1.073,0.714,279.5,270.8,-7.415,-6.991
2026-03-17 18:37:00,42,14.31,-6.374,-6.192,71.7,71.7,0.0,0.326,0.0,0.588,80.0,1012.798,1.053,0.637,279.8,270.3,-7.386,-6.972
2026-03-17 18:38:00,43,14.31,-6.427,-6.27,72.18,72.28,0.0,0.449,0.0,0.882,81.8,1012.804,1.038,0.617,279.9,270.1,-7.349,-6.96
